officer_id;po_assigned_unit;TotalComplaints;Civil Rights Complaint;Criminal Allegation;Departmental Violation;Disciplinary Code Violation;Domestic;Drugs;Falsification;Harassment;Investigation OnGoing;Lack of Service;No C.A.P. Investigation;Other Misconduct;Physical Abuse;Referred to Other Agency/C.A.P. Investigation;Sexual Crime/Misconduct;Unprofessional Conduct;Verbal Abuse;Gender;race;No Sustained Findings;Not Applicable;Pending;Sustained Finding
10005037;1400 14TH DISTRICT; 3;0;0; 0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;5; 1;1;0; 1
10009672;1800 18TH DISTRICT; 3;0;0; 3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;5; 5;0;0; 1
10009672;9807 SUMMER INITIATIVE; 3;0;0; 3;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;5; 5;0;0; 1
10091211;1200 12TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2; 0;1;0; 0
10093271;5200 TRAFFIC DISTRICT; 6;0;0; 3;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;5; 4;0;0; 2
10119020;2200 22ND DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2; 1;0;0; 0
10280210;1200 12TH DISTRICT; 4;1;0; 1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;4; 4;0;0; 0
10313341;0100 01ST DISTRICT; 5;0;0; 2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2; 5;0;0; 0
10314714;2200 22ND DISTRICT; 8;0;0; 5;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;4; 3;0;0; 5
10319349;0300 03RD DISTRICT; 3;0;0; 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5; 3;0;0; 0
10328618;2500 25TH DISTRICT; 1;0;0; 0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4; 0;0;1; 0
10335485;6400 NORTHEAST DET; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2; 2;0;0; 0
10335485;1400 14TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2; 2;0;0; 0
10402261;2200 22ND DISTRICT; 3;0;0; 1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4; 0;0;0; 3
10444833;5300 HIGHWAY PATROL; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4; 1;0;0; 0
10524312;6500 SOUTHWEST DET; 2;0;0; 0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;5; 2;0;0; 0
10537874;0800 08TH DISTRICT; 2;0;0; 0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5; 2;0;0; 0
10551607;7700 AIRPORT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2; 1;0;0; 0
